 # Adrien Atallah
 # Project 5
 # Contains time vs. location for planet 1 and planet 2 plus the energy of the system
 # t, x1, y1, x2, y2, Energy
   0.0000000       0.0000000      3.85000000E+08  9.99999980E+10  1.40000002E+11  6.94528252E+26
   50000.000      -51001228.      3.81645472E+08  9.99488471E+10  1.40000002E+11  6.94528252E+26
   100000.00     -1.01114056E+08  3.71642304E+08  9.98976963E+10  1.40000002E+11  6.94523751E+26
   150000.00     -1.49467104E+08  3.55170464E+08  9.98465454E+10  1.40000002E+11  6.94516299E+26
   200000.00     -1.95222608E+08  3.32525600E+08  9.97953946E+10  1.40000002E+11  6.94505821E+26
   250000.00     -2.37592160E+08  3.04112736E+08  9.97442437E+10  1.40000002E+11  6.94498147E+26
   300000.00     -2.75851200E+08  2.70437856E+08  9.96930929E+10  1.40000002E+11  6.94489957E+26
   350000.00     -3.09351904E+08  2.32097360E+08  9.96419420E+10  1.40000002E+11  6.94480660E+26
   400000.00     -3.37534336E+08  1.89766080E+08  9.95907912E+10  1.40000002E+11  6.94473207E+26
   450000.00     -3.59935520E+08  1.44183856E+08  9.95396403E+10  1.40000002E+11  6.94463394E+26
   500000.00     -3.76196320E+08   96141272.      9.94884895E+10  1.40000002E+11  6.94453727E+26
   550000.00     -3.86066240E+08   46464788.      9.94373386E+10  1.40000002E+11  6.94452547E+26
   600000.00     -3.89406016E+08  -3998258.8      9.93861878E+10  1.40000002E+11  6.94445094E+26
   650000.00     -3.86188096E+08  -54394600.      9.93350369E+10  1.40000002E+11  6.94435428E+26
   700000.00     -3.76495136E+08 -1.03879560E+08  9.92838861E+10  1.40000002E+11  6.94435723E+26
   750000.00     -3.60516768E+08 -1.51630912E+08  9.92327352E+10  1.40000002E+11  6.94422811E+26
   800000.00     -3.38544672E+08 -1.96861952E+08  9.91815844E+10  1.40000002E+11  6.94413587E+26
   850000.00     -3.10966176E+08 -2.38833520E+08  9.91304335E+10  1.40000002E+11  6.94406799E+26
   900000.00     -2.78256704E+08 -2.76864896E+08  9.90792827E+10  1.40000002E+11  6.94396395E+26
   950000.00     -2.40971024E+08 -3.10343552E+08  9.90281318E+10  1.40000002E+11  6.94396469E+26
   1000000.0     -1.99733808E+08 -3.38733664E+08  9.89769810E+10  1.40000002E+11  6.94388352E+26
   1050000.0     -1.55229296E+08 -3.61583296E+08  9.89258301E+10  1.40000002E+11  6.94381195E+26
   1100000.0     -1.08190504E+08 -3.78530304E+08  9.88746793E+10  1.40000002E+11  6.94375735E+26
   1150000.0      -59387972.     -3.89307040E+08  9.88235284E+10  1.40000002E+11  6.94363929E+26
   1200000.0      -9618187.0     -3.93743712E+08  9.87723776E+10  1.40000002E+11  6.94360903E+26
   1250000.0       40308184.     -3.91770496E+08  9.87212268E+10  1.40000002E+11  6.94355665E+26
   1300000.0       89578192.     -3.83418464E+08  9.86700759E+10  1.40000002E+11  6.94342973E+26
   1350000.0      1.37388496E+08 -3.68819072E+08  9.86189251E+10  1.40000002E+11  6.94338694E+26
   1400000.0      1.82957168E+08 -3.48202688E+08  9.85677742E+10  1.40000002E+11  6.94331389E+26
   1450000.0      2.25535424E+08 -3.21895520E+08  9.85166234E+10  1.40000002E+11  6.94329175E+26
   1500000.0      2.64418912E+08 -2.90315616E+08  9.84654725E+10  1.40000002E+11  6.94321206E+26
   1550000.0      2.98958816E+08 -2.53967344E+08  9.84143217E+10  1.40000002E+11  6.94311540E+26
   1600000.0      3.28572256E+08 -2.13434624E+08  9.83631708E+10  1.40000002E+11  6.94305932E+26
   1650000.0      3.52752224E+08 -1.69373024E+08  9.83120200E+10  1.40000002E+11  6.94294643E+26
   1700000.0      3.71076512E+08 -1.22500464E+08  9.82608691E+10  1.40000002E+11  6.94288223E+26
   1750000.0      3.83215808E+08  -73586720.      9.82097183E+10  1.40000002E+11  6.94279590E+26
   1800000.0      3.88940576E+08  -23441862.      9.81585674E+10  1.40000002E+11  6.94271105E+26
   1850000.0      3.88126496E+08   27096470.      9.81074166E+10  1.40000002E+11  6.94265423E+26
   1900000.0      3.80758432E+08   77176608.      9.80562657E+10  1.40000002E+11  6.94259741E+26
   1950000.0      3.66932608E+08  1.25947176E+08  9.80051149E+10  1.40000002E+11  6.94253839E+26
   2000000.0      3.46856960E+08  1.72571872E+08  9.79539640E+10  1.40000002E+11  6.94242844E+26
   2050000.0      3.20849216E+08  2.16244544E+08  9.79028132E+10  1.40000002E+11  6.94240188E+26
   2100000.0      2.89333152E+08  2.56204080E+08  9.78516623E+10  1.40000002E+11  6.94231702E+26
   2150000.0      2.52832368E+08  2.91748992E+08  9.78005115E+10  1.40000002E+11  6.94225209E+26
   2200000.0      2.11962080E+08  3.22251168E+08  9.77493606E+10  1.40000002E+11  6.94220118E+26
   2250000.0      1.67418784E+08  3.47168512E+08  9.76982098E+10  1.40000002E+11  6.94210304E+26
   2300000.0      1.19967992E+08  3.66056032E+08  9.76470589E+10  1.40000002E+11  6.94193924E+26
   2350000.0       70430288.      3.78575136E+08  9.75959081E+10  1.40000002E+11  6.94189570E+26
   2400000.0       19666062.      3.84500768E+08  9.75447572E+10  1.40000002E+11  6.94179019E+26
   2450000.0      -31440820.      3.83726208E+08  9.74936064E+10  1.40000002E+11  6.94171197E+26
   2500000.0      -81999920.      3.76265440E+08  9.74424556E+10  1.40000002E+11  6.94167508E+26
   2550000.0     -1.31131288E+08  3.62252736E+08  9.73913047E+10  1.40000002E+11  6.94157251E+26
   2600000.0     -1.77982304E+08  3.41939872E+08  9.73401539E+10  1.40000002E+11  6.94148618E+26
   2650000.0     -2.21743760E+08  3.15690688E+08  9.72890030E+10  1.40000002E+11  6.94140207E+26
   2700000.0     -2.61664912E+08  2.83973504E+08  9.72378522E+10  1.40000002E+11  6.94126777E+26
   2750000.0     -2.97066976E+08  2.47351312E+08  9.71867013E+10  1.40000002E+11  6.94121981E+26
   2800000.0     -3.27355008E+08  2.06470304E+08  9.71355505E+10  1.40000002E+11  6.94111503E+26
   2850000.0     -3.52027808E+08  1.62046992E+08  9.70843996E+10  1.40000002E+11  6.94103461E+26
   2900000.0     -3.70685600E+08  1.14854176E+08  9.70332488E+10  1.40000002E+11  6.94099107E+26
